"FECHA","HORA","TOTAL"
30/01/16,21,3554.55
30/01/16,22,3187.14
30/01/16,23,2993.85
30/01/16,24,2354.52
31/01/16,1,2502.98
31/01/16,2,1543.31
31/01/16,3,817.09
31/01/16,4,693.24
31/01/16,5,676.8
31/01/16,6,872.51
31/01/16,7,1254.48
31/01/16,8,1220.34
31/01/16,9,1113.6
31/01/16,10,1256.39
31/01/16,11,1347.05
31/01/16,12,1636.43
31/01/16,13,1711.53
31/01/16,14,1783.97
31/01/16,15,1694.9
31/01/16,16,1495.74
31/01/16,17,1473.39
31/01/16,18,1527.16
31/01/16,19,3230.1
31/01/16,20,5200.43
31/01/16,21,4866.2
31/01/16,22,4077.85
31/01/16,23,2560.67
31/01/16,24,1666.97
01/02/16,1,1370.7
01/02/16,2,986.09
01/02/16,3,881.62
01/02/16,4,1123.22
01/02/16,5,721.83
01/02/16,6,641.39
01/02/16,7,635.86
01/02/16,8,729.32
01/02/16,9,1401.32
01/02/16,10,1587.47
01/02/16,11,2436.23
01/02/16,12,3064.07
01/02/16,13,3292.34
01/02/16,14,3089.72
01/02/16,15,2641.18
01/02/16,16,2385.49
01/02/16,17,2473.34
01/02/16,18,2259.66
01/02/16,19,3777.5
01/02/16,20,6151.49
01/02/16,21,6088.85
01/02/16,22,5107.02
01/02/16,23,3531.3
01/02/16,24,1912.18
02/02/16,1,1759.09
02/02/16,2,1382.34
02/02/16,3,1186.79
02/02/16,4,711.83
02/02/16,5,615.69
02/02/16,6,965.92
02/02/16,7,1582.19
02/02/16,8,2321.2
02/02/16,9,3094.35
02/02/16,10,3860.61
02/02/16,11,4166.9
02/02/16,12,4445.97
02/02/16,13,4479.1
02/02/16,14,4141.87
02/02/16,15,3835.07
02/02/16,16,3681.43
02/02/16,17,3464.81
02/02/16,18,3495.16
02/02/16,19,4568.13
02/02/16,20,5691.29
02/02/16,21,5164.73
02/02/16,22,4212.13
02/02/16,23,3170.96
02/02/16,24,3117.15
03/02/16,1,2852.23
03/02/16,2,1579.74
03/02/16,3,827.77
03/02/16,4,694.09
03/02/16,5,693.63
03/02/16,6,848.79
03/02/16,7,1418.22
03/02/16,8,1919.48
03/02/16,9,2870.84
03/02/16,10,4086.04
03/02/16,11,4699.2
03/02/16,12,5365.72
03/02/16,13,5175.73
03/02/16,14,5131.66
03/02/16,15,5221.02
03/02/16,16,5093.76
03/02/16,17,4249.87
03/02/16,18,3604.32
03/02/16,19,3825.18
03/02/16,20,4754.1
03/02/16,21,4157
03/02/16,22,3029
03/02/16,23,1824.32
03/02/16,24,1307.51
04/02/16,1,961.13
04/02/16,2,630.61
04/02/16,3,801.13
04/02/16,4,585.05
04/02/16,5,754.54
04/02/16,6,864.87
04/02/16,7,1249.09
04/02/16,8,1673.37
04/02/16,9,1957.07
04/02/16,10,2630.06
04/02/16,11,3206.64
04/02/16,12,3373.5
04/02/16,13,3139.44
04/02/16,14,3143.96
04/02/16,15,3116.13
04/02/16,16,3319.22
04/02/16,17,3265.85
04/02/16,18,2914.27
04/02/16,19,3289.85
04/02/16,20,4334.01
04/02/16,21,3788.95
04/02/16,22,2753.2
04/02/16,23,1952.53
04/02/16,24,1735.16
05/02/16,1,2011.35
05/02/16,2,1631.39
05/02/16,3,1261.99
05/02/16,4,928.45
05/02/16,5,1088.49
05/02/16,6,978.15
05/02/16,7,1310.1
05/02/16,8,1496.4
05/02/16,9,965.81
05/02/16,10,1668.7
05/02/16,11,2429.24
05/02/16,12,2667.18
05/02/16,13,2348.44
05/02/16,14,2279.22
05/02/16,15,2167.99
05/02/16,16,1946.67
05/02/16,17,1752.04
05/02/16,18,1726.48
05/02/16,19,2252.88
05/02/16,20,3248.43
05/02/16,21,2740.12
05/02/16,22,1954.17
05/02/16,23,1842
05/02/16,24,1629.29
06/02/16,1,1450.31
06/02/16,2,1289.16
06/02/16,3,716.25
06/02/16,4,514.3
06/02/16,5,658.71
06/02/16,6,746.21
06/02/16,7,766.09
06/02/16,8,884.61
06/02/16,9,1588.52
06/02/16,10,2285.87
06/02/16,11,3104.47
06/02/16,12,3428.64
06/02/16,13,3630.7
06/02/16,14,3240.72
06/02/16,15,2557.93
06/02/16,16,2180.03
06/02/16,17,2069.1
06/02/16,18,2123.66
06/02/16,19,2752.64
06/02/16,20,4930.7
06/02/16,21,4586.75
06/02/16,22,3372.75
06/02/16,23,1867.05
06/02/16,24,1006.56
07/02/16,1,702.16
07/02/16,2,533.46
07/02/16,3,662.67
07/02/16,4,726.55
07/02/16,5,721.54
07/02/16,6,793.69
07/02/16,7,952.71
07/02/16,8,954.82
07/02/16,9,1092.49
07/02/16,10,1093.91
07/02/16,11,1127.6
07/02/16,12,1110.26
07/02/16,13,1060.71
07/02/16,14,1039.94
07/02/16,15,915.37
07/02/16,16,959.22
07/02/16,17,931.55
07/02/16,18,1117.23
07/02/16,19,2230.71
07/02/16,20,4360.73
07/02/16,21,4365.89
07/02/16,22,3399.45
07/02/16,23,2299.91
07/02/16,24,1509.14
08/02/16,1,1307.71
08/02/16,2,1066.31
08/02/16,3,826.52
08/02/16,4,724.98
08/02/16,5,954.85
08/02/16,6,874.46
08/02/16,7,1564.24
08/02/16,8,2072.49
08/02/16,9,2282.55
08/02/16,10,2662.32
08/02/16,11,3365.35
08/02/16,12,3615.14
08/02/16,13,3512.51
08/02/16,14,3398.74
08/02/16,15,3374.63
08/02/16,16,3391.33
08/02/16,17,3716.75
08/02/16,18,3655.78
08/02/16,19,3913.75
08/02/16,20,4606.75
08/02/16,21,4078.68
08/02/16,22,2962.8
08/02/16,23,1796.09
08/02/16,24,1395.43
09/02/16,1,1734.93
09/02/16,2,1503.33
09/02/16,3,1137.82
09/02/16,4,1016.75
09/02/16,5,1031.35
09/02/16,6,1053.39
09/02/16,7,1428.34
09/02/16,8,1863.66
09/02/16,9,2232.62
09/02/16,10,3075.61
09/02/16,11,3358.65
09/02/16,12,3447.1
09/02/16,13,3366.33
09/02/16,14,3365.07
09/02/16,15,3261.64
09/02/16,16,3233.15
09/02/16,17,2896.01
09/02/16,18,2898.37
09/02/16,19,3731.77
09/02/16,20,5050.63
09/02/16,21,4474.5
09/02/16,22,3341.81
09/02/16,23,2305.94
09/02/16,24,1766.7
10/02/16,1,1498.43
10/02/16,2,1897.34
10/02/16,3,1380.23
10/02/16,4,929.74
10/02/16,5,962.89
10/02/16,6,1007.33
10/02/16,7,1495.11
10/02/16,8,2377.1
10/02/16,9,2391.65
10/02/16,10,3253.85
10/02/16,11,3790.59
10/02/16,12,3531.67
10/02/16,13,3581.86
10/02/16,14,3392.51
10/02/16,15,3061.07
10/02/16,16,3030.36
10/02/16,17,2850.49
10/02/16,18,2107.32
10/02/16,19,2067.92
10/02/16,20,3382.03
10/02/16,21,2946.08
10/02/16,22,2124.16
10/02/16,23,1450.6
10/02/16,24,1490.06
11/02/16,1,1462.52
11/02/16,2,1254.01
11/02/16,3,997.09
11/02/16,4,884.26
11/02/16,5,540.2
11/02/16,6,644.19
11/02/16,7,1189.44
11/02/16,8,1301.04
11/02/16,9,1187.89
11/02/16,10,1288.86
11/02/16,11,1016.95
11/02/16,12,1447.67
11/02/16,13,1735.62
11/02/16,14,1815.07
11/02/16,15,1898.82
11/02/16,16,1887.8
11/02/16,17,1970.72
11/02/16,18,1396.84
11/02/16,19,1746.57
11/02/16,20,2979.42
11/02/16,21,2672.77
11/02/16,22,1883.16
11/02/16,23,1738.07
11/02/16,24,1610.68
12/02/16,1,1409.58
12/02/16,2,933.54
12/02/16,3,662.67
12/02/16,4,645.14
12/02/16,5,616.11
12/02/16,6,901.81
12/02/16,7,1512.84
12/02/16,8,1164.12
12/02/16,9,1386.38
12/02/16,10,2057.01
12/02/16,11,2237.5
12/02/16,12,2524.55
12/02/16,13,2545.73
12/02/16,14,2416.73
12/02/16,15,2240.96
12/02/16,16,1988.61
12/02/16,17,1943.3
12/02/16,18,1769.33
12/02/16,19,2303.52
12/02/16,20,3574.55
12/02/16,21,2916.52
12/02/16,22,2143.44
12/02/16,23,1774.93
12/02/16,24,1555.92
13/02/16,1,1096.95
13/02/16,2,764.53
13/02/16,3,762.06
13/02/16,4,675.15
13/02/16,5,829.66
13/02/16,6,1090.35
13/02/16,7,921.37
13/02/16,8,993.94
13/02/16,9,1264.04
13/02/16,10,2068.18
13/02/16,11,2712.98
13/02/16,12,3092.17
13/02/16,13,3272.19
13/02/16,14,3119.38
13/02/16,15,2283.73
13/02/16,16,1813.01
13/02/16,17,1610.85
13/02/16,18,1456.79
13/02/16,19,2585.61
13/02/16,20,4291.18
13/02/16,21,4116.49
13/02/16,22,3085.9
13/02/16,23,1832.62
13/02/16,24,1177.46
14/02/16,1,1054.69
14/02/16,2,1382.11
14/02/16,3,938.1
14/02/16,4,919.29
14/02/16,5,890.03
14/02/16,6,764.65
14/02/16,7,880.23
14/02/16,8,808.37
14/02/16,9,1213.47
14/02/16,10,1453.38
14/02/16,11,2145.82
14/02/16,12,2370.64
14/02/16,13,2329
14/02/16,14,2250.27
14/02/16,15,2176.1
14/02/16,16,2202.57
14/02/16,17,2008.36
14/02/16,18,1934.46
14/02/16,19,2955.32
14/02/16,20,5187.8
14/02/16,21,5666.35
14/02/16,22,4907.64
14/02/16,23,3717.83
14/02/16,24,1977.06
15/02/16,1,1325.49
15/02/16,2,1173.41
15/02/16,3,889.39
15/02/16,4,962.25
15/02/16,5,1136.96
15/02/16,6,1755
15/02/16,7,2917.82
15/02/16,8,3903.38
15/02/16,9,4343.46
15/02/16,10,5626.28
15/02/16,11,6505.78
